rain,grid_pos,pit_count,final,compound_0,lap_0,compound_1,lap_1,compound_2,lap_2,compound_3,lap_3,compound_4,lap_4,compound_5,lap_5,VER,TSU,ZHO,FIT,GAS,GRO,PER,MSC,NOR,SAI,LAT,MAZ,DEV,RUS,UNKNOWN,HUL,ALB,KUB,KVY,GIO,BOT,RAI,VET,OCO,MAG,LEC,HAM,ALO,RIC,AIT,STR,silverstone,bahrain,spa_francorchamps,zandvoort,istanbul,le_castellet,so_paulo,nrburgring,spielberg,montral,imola,suzuka,barcelona,mugello,portimo,mexico_city,melbourne,baku,marina_bay,lusail,yas_island,monza,hockenheim,singapore,austin,monaco,sochi,miami,jeddah,shanghai,sakhir,budapest,spain,monte_carlo
0,10,3,10.0,SOFT,1,HARD,10,MEDIUM,50,null,null,null,null,null,null,0.00013457696702191924,0.0006445946581375747,0.0004247614711537697,0.00034596650148613383,1.0008493846547917,0.0007825080576442392,0.0006167760164795301,0.0007685220015768141,0.0003878392283187414,4.2169544752144404e-05,0.0007151091841822613,0.0008565210580666488,0.0008529464310106954,0.0006967973208898028,0.000243919119789323,0.0004197665469643799,0.0003319781155498647,0.00011807441869326285,0.0002772789863156434,0.0009097469762708607,0.00022284102883044665,0.0003349509976910281,0.0005880226080594211,0.00018270157635072082,0.0007282921298819407,0.0008885721948364124,0.0003418342987916886,0.00041061063079171823,0.00044260920609101784,0.0007651555119840298,0.0003852530639376349,7.520436572712474e-05,0.0004641546163145789,0.0007913832943560337,0.0005126087855486799,0.0007969776510415184,0.0002177572476325903,0.0008200107658589725,0.0004741914060826783,9.893495841261124e-05,0.0006212131926291855,0.0002569981689402597,0.0006888022468972882,0.0009879359195491268,0.00014407065272084362,0.0004022093351210667,1.0009975263107072,0.00017354918642878113,0.0006737090510391163,0.0003329997979783481,0.0009770706192934516,0.0005373925507785804,0.0008776212807626295,0.0005509189480660264,0.0008559535222793672,0.0008532807124475154,0.0006092075390618604,0.0009936771363437582,0.0006025065727206564,0.00045752403835156287,0.00012383912564576272,0.0003830913567404785,0.00042322320690047535,0.00031375648835072124,0.0006767407606409211
0,7,2,8.0,MEDIUM,1,HARD,11,null,null,null,null,null,null,null,null,5.6382472916422064e-05,5.482016477470897e-05,0.0009698744527265953,0.0008382197327900919,0.00010726698723083273,9.460281930355385e-05,0.0006401878201840884,0.00045861621709491297,1.0006787795606296,1.9459401672932143e-05,0.0002899382445309364,0.0008629016322755373,0.00027842240757303615,0.00023684034748589023,0.0006926761434097491,0.000415191445746964,0.0008848561761508886,9.25380239301693e-05,0.0002734394385143729,1.0309822027072868e-05,0.0007555087520701189,0.0006965660235973791,0.00041333764483610715,0.0005434594857888866,8.612354591317506e-05,0.00010685245082958128,8.199761532572902e-05,0.0008484863716234684,0.00021292632742778782,0.0004607223307288425,0.0007969803963056167,0.0005026352352604231,1.0001493446097187,0.00022532255204527228,5.561546138771634e-05,2.492249005714875e-05,0.0006140273883459905,0.0009262916125903738,5.006879099737516e-05,0.00022925149678965274,0.00032605458522484785,0.0006661655361091082,0.0006316420898425563,4.496811732648709e-06,0.0003933614089787124,0.000276133312456744,0.00020250417996774483,0.0002832996533167045,0.0007491575326337555,0.00029849834262976507,3.168822490546075e-05,0.0006789302216157598,0.0002846883229339936,0.0008333152642332968,0.000710908444675455,0.0005635347949654506,6.396222233080229e-06,0.0006780939370795517,0.0008457982553865474,0.0005682731011882351,0.00028765497817778376,0.00047592194212005,0.0003450400100335277,3.965086877555868e-05,0.0006514435275089739
0,1,1,nan,SOFT,1,null,null,null,null,null,null,null,null,null,null,0.0008120042413732629,0.0009182633923667803,0.000749633430438762,0.0007320392551456501,0.0007823672374833014,0.0007223406382704628,0.00039587303348348626,0.0007793766206150919,0.0005975897905642648,0.0008429597186528437,4.860389232506468e-05,0.0006895100358949379,0.000942826314020287,0.00037611963715439333,0.00011025004685739082,0.0008112534060901273,0.00044653550004072917,0.000715105465970907,0.0009219762398771721,0.0004567494351216937,0.000677482849849495,0.000244681749369463,0.0007547307820735227,0.00028424326100203676,0.0007928971838294661,1.0004624007913554,0.0007034397181763673,0.000585420736658008,0.0006304310493203819,0.0007430833738451101,9.026569145023755e-05,0.00022476449626096496,0.0003210961674118017,0.0005946551754351245,0.00028984253519083035,0.0009443285904922257,0.0008089489620260838,0.0005086168324551385,2.566607142852484e-05,0.0003934019739299911,0.0008604226515312145,0.0006161545043830415,4.9934175398207216e-05,0.0006901397552019858,0.0007525065415052922,0.00048286263512734495,0.00023993329445991463,0.000727298137146725,0.0001754289578142576,8.791497274749516e-05,0.0006434923322758661,0.0009118305048728799,0.0009324704208488864,0.00030628676299839164,4.426396164315838e-05,0.000826155154686593,0.00026393262137645456,0.0005149250205890177,0.0008285343739160428,0.0009139315632699919,0.0004690056662308657,0.0004384673800365423,0.0009584805413532606,0.0006574916801767468,1.0006153803209212
1,19,4,17.0,WET,1,INTERMEDIATE,13,SOFT,24,MEDIUM,32,null,null,null,null,0.000110380819748498,0.0006978951344474252,0.0008680693864396287,0.000443374181469248,0.000546898887675792,0.0009563496937901468,0.0004450577580962982,0.0007437431628538639,0.0002448540213078351,0.0007961207645367166,0.0008016005111584995,1.0002365318926674,6.913557826281668e-06,0.0003360758892347643,0.0004237040009472489,0.0009144261993267574,0.0003539590154075447,0.0005781238397438187,0.0007150908068284552,0.0007420631429664232,0.0007292213649717764,0.0005229864235669363,0.00045717982483170673,0.00024009854849849722,0.0003154028655946911,0.00010562458403778718,0.0009273948859880068,0.0001359694781793347,0.0005531809540038553,0.0005746613168906638,0.0007722105152893205,0.0006393473469581656,0.0009196361093380344,0.00043202999762792835,0.0009595543726211091,0.0008257677362765754,0.0002777593437139585,0.00016408876243971128,0.0001840661943519727,0.00047725751857365974,0.00040397391348250287,1.0002613459865153,0.0005639626474273829,0.0005963478352736115,0.0007395635220459692,0.00046591265707460596,0.0009866266450813108,0.00012451761442040744,0.0006853185137559257,0.0008586336855266761,0.0009459385240942784,0.0006988197084449186,0.0006125134511069851,0.0007411282219950878,2.1105602404475345e-06,0.0004955115623196894,0.00040857978286628927,0.00010267126543709038,3.827484753202937e-06,0.0005006610642082529,0.0005557761928595135,4.08955367883721e-05,0.0009964440516581124,0.0008182961938725936,0.0004022129841119185
1,8,1,nan,WET,1,null,null,null,null,null,null,null,null,null,null,0.0008760094259084447,0.000199197335004473,0.0008312417225614877,0.0006763402422757101,0.0009675154764907921,0.0006265501255335514,1.0000264590084638,0.0005279666204814725,0.000865069397938138,0.000536842432856176,0.000996740278062579,0.00016531617895246565,0.00016493110739551232,0.0003815945306306655,0.0009352141460923296,0.00015590240717175974,0.0005343263140637876,0.0009038075972264692,0.0003636342630143091,0.0009405453082196254,0.0007132902098645334,0.00013783535734197526,0.0007295917230428103,0.0008468108141119707,0.0002785897080327802,6.938942508962387e-05,0.0005193787249922325,0.000815143414203439,0.0009886598161299035,0.0007846025071478598,0.0003077458354511089,0.0006426377444423757,6.979883683874988e-05,0.00017138616519738546,5.4849362740699514e-05,0.0009442180975867128,0.0007079604568263891,0.0008568751754677519,0.0009045690521953838,0.0006221012290141634,1.713604740795083e-05,0.0003292846855916233,0.0008460197053282866,0.0004271704085697399,0.0007173884258746381,0.00048727022625633966,0.00016453933163867096,0.0008830877386917634,0.0006847451482836091,0.0004175831596959252,0.0008867716451871537,0.0003733606669161007,0.00041541508439983687,1.0001859553205346,0.00016958455187280553,0.00021446546342137061,0.00015622134535824684,0.00023413985309852204,0.0009558577676010137,0.0009955611995205024,0.0005588328293070238,0.000814256812301014,0.0009968218719358984,0.0009733667361029677,0.0003025485541798427
0,6,3,8.0,SOFT,1,HARD,18,MEDIUM,40,null,null,null,null,null,null,0.0005053128732129867,0.0006948886615571879,0.0009848083590127533,2.956341502915294e-05,0.00045348066811568254,0.0007265845899398385,0.000341858338523073,0.00032439641982272337,0.0006778442989822174,0.0008035540790723822,0.0008412199708439913,0.0004400672905209626,0.0005668713238896241,0.00020486750294295675,6.444504316093424e-05,0.0005029935773520366,1.0007616566733677,0.0008603541394990345,3.811043336597908e-05,0.0005711326885105284,0.00024135937257840678,0.0002883048189057752,0.0003892978946600825,0.00029556898897075014,0.0006692670008103996,0.0005644204413158629,0.0008030637564775324,0.0008348075672012586,0.0007570976565239316,0.00026229763582173395,0.0003376437792262059,0.00048413389909802615,0.0003648963547374317,0.000306216222022786,0.00022415018284980949,0.0008446025644763932,0.0008877916759364481,0.00023495546377079845,0.0004909263512205412,0.0009878658050065747,9.113272095650993e-05,0.00046132986958219245,0.0001612878123115855,1.0005723545782568,0.000874705607633358,0.0009435177795493768,0.0009334027282150792,0.00016199397109424807,0.00033696927781424313,0.00021273514196587095,0.0009175930033729431,0.0008424086052233956,0.0007139280578547105,0.0009888973318180666,0.00022734562280002458,0.000715751264321083,0.0007877094425121687,6.317027112787954e-05,0.0009370906338664591,0.0009062322706181545,0.00046305154586138075,0.0006460467194447354,0.00013733161448146834,0.00011692115767582112,7.509606629029652e-05
0,6,2,nan,SOFT,1,MEDIUM,31,null,null,null,null,null,null,null,null,0.00015000629993216786,3.554948170973593e-05,0.0007393452790368809,0.0005210889950873183,0.0009209413031053701,0.0005139430480125399,0.00014701536616644362,0.00037934444973975465,0.0004013418831042451,0.0009198177997491097,0.0008842187038330555,0.00045546013341123104,0.00047729407126084153,0.00043128175846431527,0.0003590782164659521,0.0005168280798289014,0.000875475051447897,0.0004435490176470025,0.00018859902541535844,0.0009589926465481107,0.00042063365662211737,0.00048717802456359926,0.0007189147987011883,0.0006734928338441452,0.00012420485092743826,3.4266752206206787e-06,0.0009875649583599242,0.00024654293561579067,0.0008995018766245801,0.0008287574688306024,1.0004915800663812,0.00028044204221689117,0.000704826818327837,5.794773767366568e-05,0.0001483108888021587,0.0006298545998678617,0.0005700352783908723,0.0009920984605698532,0.0009449248575939415,0.00034383007224012186,2.397864597246102e-05,0.0006824353830983241,0.00056630554225661,0.0005633809060854918,1.0004438896910803,0.00046872768311506495,0.0008233353153565517,0.0006412364736370937,0.0006803718138212993,0.0009506600473878789,0.00013243820897902502,0.0003774663198016422,0.0008604383415201584,0.00031507200347744946,0.0005014555986407144,0.00011265340552003333,0.0007913089325562766,0.0007487107087811057,0.0009803295068947409,0.00032937832431113043,0.0009737830728624724,0.0002932378024803195,0.000999453952848355,0.000630133201581282,0.0005028905852714539
0,14,2,11.0,SOFT,1,MEDIUM,28,null,null,null,null,null,null,null,null,0.00012462050073327503,0.0003843729841740582,1.2553654407037374e-05,0.0001625737770346064,0.00045426067011991155,0.0002425650042891291,6.020539471193742e-05,0.0005939090891685506,0.0007779232165239432,0.000519910622772909,0.0006756978371660933,0.00044930322011011993,7.642906515971115e-05,0.00048392194013206725,0.0005786838300987719,0.0007002508723088958,0.0006842276697739673,0.0008567039866049629,1.0002594206806552,0.0009896356310103856,0.00047143144713456686,0.0005171819250602938,0.0007296330102499953,0.0008679077232260706,0.00046034487939556023,0.0008136269441897488,0.000585358264223337,0.0006661159685169587,0.000419842816118122,0.0006841826148198853,0.0005461800682362838,6.154420428669538e-06,0.0007501758237396011,0.0006937134398762671,0.0002600493925485398,0.00044680342883697446,0.0009134658043119679,0.0004378912871767628,0.00012123465960016145,0.00048147297335916414,6.072380444843705e-07,0.000539238575680222,1.0003164086853271,8.88384281999366e-06,0.0002799651579087541,1.423521409252071e-05,0.00019517115517323603,0.0008250005907098661,0.0008710678415314695,0.0008420672807247854,0.0007954800825575421,0.0005483602396867969,0.0008295262913971714,0.0006690789306577143,0.0005358010265369608,0.0003520268756622185,0.0004861973846978185,0.0006748892442386053,0.0007603665542741007,0.000534913985274452,0.000794568757825877,0.00017994971105581736,0.0005967008070328403,0.0001279143786410777,0.0004464749424565987
0,15,2,13.0,MEDIUM,1,SOFT,28,null,null,null,null,null,null,null,null,0.000497282993802262,0.0004574927213516855,0.0007222477144459254,6.609103082331336e-05,0.0004963957738664954,7.413859368066367e-05,0.0009394450095221886,0.0009188714745854203,0.0005507294483239737,0.0004207181129434333,0.0005767302542810677,0.0003272606106957742,0.0003131125677953464,0.0004953611312502837,0.00011265739770387751,0.00023230416635317274,0.0006313350672582874,0.00047416501699272995,0.0009740152298684267,0.00021553092751154223,0.0008539106835829687,1.0008662108344117,0.0001237630721548919,0.00016092979044648103,0.0007083171444038823,0.0004759264835954683,0.00048384282526021174,1.4340827795529031e-05,4.2887116812562187e-07,0.0002106771587006405,0.0006810868157475545,0.0003420469264266567,0.0004696310957905456,0.00051148240187203,0.00028326886254821096,0.00011742986058146909,0.0007286599535269149,0.00046411559979352254,0.0004941323897400778,0.0004937357428204628,0.0006579427713673632,0.0003809721106373519,1.8216670924890765e-05,0.0002541809308707925,0.0007287751021989319,0.00025267298876570685,0.0005743591742616408,6.492095915986762e-06,0.0009786348388302955,0.000560890789187415,0.0008631682505672498,9.696390229065722e-05,0.0004038497528617604,0.0006568355190381214,0.0005334610224465889,0.0009817132842290953,2.015104348827246e-05,1.000856648122388,0.0009075722146882275,0.0006308261511965312,0.000349247713185923,0.00097866380713974,0.00037003552158259125,0.00023971040954695843,0.0006598396576054899
0,12,3,13.0,SOFT,1,MEDIUM,8,SOFT,40,null,null,null,null,null,null,0.0009514151457651335,0.0008471609650720384,1.684535066110904e-05,0.0001134033195548162,0.00013346714940669913,0.00027260746296216965,7.346323151217049e-05,0.0008919482858765797,0.00031728009407552447,0.00046799125190158364,6.0330919267932216e-05,0.0008485004934590786,0.00047971947851412213,0.000491459050911043,0.0009923161510690627,0.0009119812650260103,0.0003777865656958986,0.000986530455008519,0.0008729529263581035,0.000392897649210628,0.0003494758450055949,0.0002538712559390688,2.525420555954394e-08,0.0009325949120864984,1.000700642641469,0.00021597815914771302,0.0009695243993441467,0.0008695467385081335,0.0005022103619528218,0.0006490018099195855,0.0007481284881652054,0.0005985772832358317,0.0008871059539136609,0.0008309274340100912,0.0007995478777130165,0.00041932397218312565,0.0005076889371653929,0.0009109844070721747,0.0006972361026466373,0.0005536942061326567,0.0007367652724557178,0.0005440815768752454,0.00038438716612342126,0.0002264036331274466,0.000930122865509574,0.0004186887253064279,6.989027564579686e-05,0.00015015710368660086,1.000598265242616,0.0009412229603716168,0.00028378129742010004,0.00099455501752273,7.760451165407256e-05,9.263669692308096e-05,0.0007990100164457332,0.0009834360737129724,0.0008314382542573963,0.000961133443876846,0.0006458581909497592,0.0006446365664844855,0.0005707692160752673,0.00010945685429978314,6.587814343079668e-05,0.00015518696833598976,0.00035673342251832407
