lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos,pit_count,final
57.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 15.0, 55.0]",Haas F1 Team,1,MSC,15,3,16.0
57.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 13.0, 43.0]",Haas F1 Team,1,MAG,16,3,15.0
54.0,2.0,"['HARD', 'MEDIUM']","[1.0, 42.0]",Aston Martin,1,VET,0,2,17.0
45.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 17.0, 41.0]",AlphaTauri,1,GAS,7,3,18.0
40.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",McLaren,1,NOR,8,2,nan
6.0,1.0,['MEDIUM'],[1.0],Alfa Romeo,1,ZHO,17,1,20.0
66.0,4.0,"['SOFT', 'MEDIUM', 'SOFT', 'MEDIUM']","[1.0, 14.0, 29.0, 45.0]",Red Bull Racing,0,VER,2,4,1.0
66.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 18.0, 54.0]",Red Bull Racing,0,PER,5,3,2.0
66.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 14.0, 52.0]",Mercedes,0,RUS,4,3,3.0
66.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 11.0, 46.0]",Ferrari,0,SAI,3,3,4.0
66.0,4.0,"['MEDIUM', 'SOFT', 'MEDIUM', 'SOFT']","[1.0, 2.0, 23.0, 49.0]",Mercedes,0,HAM,6,4,5.0
66.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 15.0]",Alfa Romeo,0,BOT,7,2,6.0
66.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 14.0, 36.0]",Alpine,0,OCO,12,3,7.0
66.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 13.0, 34.0]",McLaren,0,NOR,11,3,8.0
65.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 11.0, 32.0]",Alpine,0,ALO,20,3,9.0
65.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 12.0, 33.0]",AlphaTauri,0,TSU,13,3,10.0
65.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 43.0]",Aston Martin,0,VET,16,2,11.0
65.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 32.0, 49.0]",McLaren,0,RIC,9,3,12.0
65.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 11.0, 30.0]",AlphaTauri,0,GAS,14,3,13.0
65.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 31.0]",Haas F1 Team,0,MSC,10,2,14.0
65.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 28.0, 47.0]",Aston Martin,0,STR,17,3,15.0
64.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 13.0, 27.0]",Williams,0,LAT,19,3,16.0
64.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 2.0, 30.0]",Haas F1 Team,0,MAG,8,3,17.0
64.0,5.0,"['SOFT', 'MEDIUM', 'SOFT', 'MEDIUM', 'SOFT']","[1.0, 12.0, 26.0, 46.0, 55.0]",Williams,0,ALB,18,5,18.0
28.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 11.0]",Alfa Romeo,0,ZHO,15,2,15.0
27.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 22.0]",Ferrari,0,LEC,1,2,4.0
64.0,4.0,"['WET', 'INTERMEDIATE', 'HARD', 'MEDIUM']","[1.0, 17.0, 23.0, 31.0]",Red Bull Racing,0,PER,3,4,1.0
64.0,3.0,"['WET', 'HARD']","[1.0, 22.0]",Ferrari,0,SAI,2,2,2.0
64.0,4.0,"['WET', 'INTERMEDIATE', 'HARD', 'MEDIUM']","[1.0, 19.0, 23.0, 31.0]",Red Bull Racing,0,VER,4,4,3.0
64.0,4.0,"['WET', 'INTERMEDIATE', 'HARD']","[1.0, 19.0, 22.0]",Ferrari,0,LEC,1,3,4.0
64.0,3.0,"['WET', 'HARD', 'MEDIUM']","[1.0, 22.0, 31.0]",Mercedes,0,RUS,6,3,5.0
64.0,5.0,"['WET', 'INTERMEDIATE', 'HARD', 'MEDIUM']","[1.0, 18.0, 23.0, 52.0]",McLaren,0,NOR,5,4,6.0
64.0,3.0,"['WET', 'HARD', 'MEDIUM']","[1.0, 22.0, 31.0]",Alpine,0,ALO,7,3,7.0
64.0,4.0,"['WET', 'INTERMEDIATE', 'HARD', 'MEDIUM']","[1.0, 16.0, 23.0, 31.0]",Mercedes,0,HAM,8,4,8.0
64.0,3.0,"['WET', 'HARD']","[1.0, 21.0]",Alfa Romeo,0,BOT,12,2,10.0
64.0,4.0,"['WET', 'INTERMEDIATE', 'HARD']","[1.0, 7.0, 24.0]",Aston Martin,0,VET,9,3,11.0
64.0,4.0,"['INTERMEDIATE', 'HARD']","[1.0, 23.0]",AlphaTauri,0,GAS,17,2,12.0
64.0,3.0,"['WET', 'HARD', 'MEDIUM']","[1.0, 22.0, 31.0]",Alpine,0,OCO,10,3,9.0
64.0,3.0,"['WET', 'HARD']","[1.0, 20.0]",McLaren,0,RIC,14,2,13.0
64.0,5.0,"['WET', 'INTERMEDIATE', 'HARD', 'None']","[1.0, 3.0, 25.0, 30.0]",Aston Martin,0,STR,18,4,14.0
63.0,4.0,"['WET', 'INTERMEDIATE', 'HARD', 'MEDIUM']","[1.0, 2.0, 3.0, 23.0]",Williams,0,LAT,19,4,15.0
