lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos,pit_count,final
44.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 15.0, 34.0]",Aston Martin,0,VET,10,3,8.0
44.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 11.0, 23.0]",AlphaTauri,0,GAS,0,3,9.0
44.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 11.0, 27.0]",Williams,0,ALB,6,3,10.0
44.0,3.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Aston Martin,0,STR,9,2,11.0
44.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 14.0, 30.0]",McLaren,0,NOR,17,3,12.0
44.0,3.0,"['HARD', 'MEDIUM', 'SOFT']","[1.0, 19.0, 31.0]",AlphaTauri,0,TSU,0,3,13.0
44.0,3.0,"['MEDIUM', 'SOFT']","[1.0, 29.0]",Alfa Romeo,0,ZHO,18,2,14.0
44.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 13.0, 33.0]",McLaren,0,RIC,7,3,15.0
43.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 12.0, 28.0]",Haas F1 Team,0,MAG,12,3,16.0
43.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 15.0, 31.0]",Haas F1 Team,0,MSC,19,3,17.0
43.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 16.0, 35.0]",Williams,0,LAT,11,3,18.0
2.0,1.0,['SOFT'],[1.0],Alfa Romeo,0,BOT,13,1,nan
1.0,1.0,['MEDIUM'],[1.0],Mercedes,0,HAM,4,1,nan
72.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 19.0, 49.0, 57.0]",Red Bull Racing,0,VER,1,4,1.0
72.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM', 'SOFT']","[1.0, 32.0, 49.0, 58.0]",Mercedes,0,RUS,6,4,2.0
72.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 18.0, 46.0, 57.0]",Ferrari,0,LEC,2,4,3.0
72.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 30.0, 49.0]",Mercedes,0,HAM,4,3,4.0
72.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'MEDIUM']","[1.0, 15.0, 41.0, 57.0]",Red Bull Racing,0,PER,5,4,6.0
72.0,4.0,"['SOFT', 'HARD', 'SOFT']","[1.0, 13.0, 48.0]",Alpine,0,ALO,13,3,7.0
72.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 18.0, 48.0]",McLaren,0,NOR,7,3,8.0
72.0,4.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 15.0, 44.0, 58.0]",Ferrari,0,SAI,3,4,5.0
72.0,4.0,"['SOFT', 'HARD', 'SOFT']","[1.0, 19.0, 57.0]",Alpine,0,OCO,12,3,9.0
72.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 17.0, 39.0, 57.0]",Aston Martin,0,STR,10,4,10.0
72.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 12.0, 33.0, 57.0]",AlphaTauri,0,GAS,11,4,11.0
72.0,5.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 43.0, 56.0]",Williams,0,ALB,15,3,12.0
72.0,5.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 34.0, 48.0]",Haas F1 Team,0,MSC,8,3,14.0
72.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 10.0, 36.0, 49.0]",Aston Martin,0,VET,19,4,13.0
72.0,5.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 35.0, 48.0]",Haas F1 Team,0,MAG,18,3,15.0
72.0,5.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 38.0, 56.0]",Alfa Romeo,0,ZHO,14,3,16.0
72.0,6.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 12.0, 28.0, 48.0]",McLaren,0,RIC,17,4,17.0
71.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 14.0, 27.0, 55.0]",Williams,0,LAT,20,4,18.0
54.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 35.0]",Alfa Romeo,0,BOT,16,2,nan
43.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 14.0, 43.0]",AlphaTauri,0,TSU,9,3,20.0
53.0,3.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 26.0, 49.0]",Red Bull Racing,0,VER,7,3,1.0
53.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 13.0, 34.0]",Ferrari,0,LEC,1,3,2.0
53.0,3.0,"['SOFT', 'HARD', 'SOFT']","[1.0, 24.0, 48.0]",Mercedes,0,RUS,2,3,3.0
53.0,3.0,"['MEDIUM', 'SOFT']","[1.0, 31.0]",Ferrari,0,SAI,18,2,4.0
53.0,2.0,"['MEDIUM', 'SOFT']","[1.0, 34.0]",Mercedes,0,HAM,19,2,5.0
53.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 8.0, 43.0]",Red Bull Racing,0,PER,13,3,6.0
53.0,3.0,"['MEDIUM', 'SOFT']","[1.0, 36.0]",McLaren,0,NOR,3,2,7.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",AlphaTauri,0,GAS,5,2,8.0
53.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 20.0]",Williams,0,DEV,8,2,9.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Alfa Romeo,0,ZHO,9,2,10.0
53.0,2.0,"['SOFT', 'HARD']","[1.0, 20.0]",Alpine,0,OCO,14,2,11.0
53.0,2.0,"['MEDIUM', 'SOFT']","[1.0, 34.0]",Haas F1 Team,0,MSC,17,2,12.0
52.0,2.0,"['MEDIUM', 'SOFT']","[1.0, 36.0]",Alfa Romeo,0,BOT,15,2,13.0
52.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 20.0, 48.0]",AlphaTauri,0,TSU,20,3,14.0
52.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 16.0, 48.0]",Williams,0,LAT,10,3,15.0
52.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 25.0, 47.0]",Haas F1 Team,0,MAG,16,3,16.0
46.0,2.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",McLaren,0,RIC,4,2,nan
39.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Aston Martin,0,STR,12,2,17.0
31.0,1.0,['MEDIUM'],[1.0],Alpine,0,ALO,6,1,8.0
11.0,1.0,['MEDIUM'],[1.0],Aston Martin,0,VET,11,1,nan
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 36.0]",Red Bull Racing,1,PER,2,2,1.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 35.0]",Ferrari,1,LEC,1,2,2.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 36.0]",Ferrari,1,SAI,4,2,3.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 37.0]",McLaren,1,NOR,6,2,4.0
59.0,2.0,"['INTERMEDIATE', 'SOFT']","[1.0, 37.0]",McLaren,1,RIC,16,2,5.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 36.0]",Aston Martin,1,STR,11,2,6.0
59.0,3.0,"['INTERMEDIATE', 'MEDIUM', 'SOFT']","[1.0, 36.0, 41.0]",Red Bull Racing,1,VER,8,3,7.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 35.0]",Aston Martin,1,VET,13,2,8.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 35.0]",Mercedes,1,HAM,3,2,9.0
59.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 34.0]",AlphaTauri,1,GAS,7,2,10.0
59.0,2.0,"['INTERMEDIATE', 'SOFT']","[1.0, 34.0]",Alfa Romeo,1,BOT,15,2,11.0
59.0,3.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 34.0]",Haas F1 Team,1,MAG,9,2,12.0
58.0,3.0,"['INTERMEDIATE', 'MEDIUM', 'SOFT']","[1.0, 35.0, 42.0]",Haas F1 Team,1,MSC,12,3,13.0
57.0,5.0,"['INTERMEDIATE', 'MEDIUM', 'SOFT']","[1.0, 22.0, 42.0]",Mercedes,1,RUS,0,3,14.0
35.0,2.0,"['INTERMEDIATE', 'MEDIUM']","[1.0, 34.0]",AlphaTauri,1,TSU,10,2,nan
27.0,1.0,['INTERMEDIATE'],[1.0],Alpine,1,OCO,17,1,nan
25.0,1.0,['INTERMEDIATE'],[1.0],Williams,1,ALB,18,1,17.0
21.0,1.0,['INTERMEDIATE'],[1.0],Alpine,1,ALO,5,1,nan
7.0,1.0,['INTERMEDIATE'],[1.0],Williams,1,LAT,19,1,19.0
7.0,1.0,['INTERMEDIATE'],[1.0],Alfa Romeo,1,ZHO,14,1,nan
29.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Red Bull Racing,1,VER,1,3,nan
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Red Bull Racing,1,PER,4,3,3.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Ferrari,1,LEC,2,3,2.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Alpine,1,OCO,5,3,4.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Mercedes,1,HAM,6,3,5.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 6.0]",Aston Martin,1,VET,9,3,7.0
28.0,4.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 9.0]",Alpine,1,ALO,7,3,6.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Mercedes,1,RUS,8,3,8.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 6.0]",Williams,1,LAT,20,3,9.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 7.0]",McLaren,1,NOR,10,3,10.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 9.0]",McLaren,1,RIC,11,3,11.0
28.0,4.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Aston Martin,1,STR,19,3,12.0
28.0,4.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",AlphaTauri,1,TSU,13,3,13.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 8.0]",Haas F1 Team,1,MAG,18,3,14.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 7.0]",Alfa Romeo,1,BOT,12,3,15.0
28.0,4.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 10.0]",Alfa Romeo,1,ZHO,14,3,16.0
28.0,3.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 3.0, 12.0]",Haas F1 Team,1,MSC,15,3,18.0
28.0,5.0,"['INTERMEDIATE', 'WET', 'INTERMEDIATE']","[1.0, 2.0, 8.0]",AlphaTauri,1,GAS,17,3,17.0
1.0,1.0,['INTERMEDIATE'],[1.0],Ferrari,1,SAI,3,1,nan
1.0,1.0,['INTERMEDIATE'],[1.0],Williams,1,ALB,16,1,nan
56.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 14.0, 36.0]",Red Bull Racing,0,VER,2,3,1.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 13.0]",Mercedes,0,HAM,3,2,2.0
56.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 19.0, 36.0]",Ferrari,0,LEC,12,3,3.0
56.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 15.0, 39.0]",Red Bull Racing,0,PER,9,3,4.0
56.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 14.0, 55.0]",Mercedes,0,RUS,4,3,5.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 15.0]",McLaren,0,NOR,6,2,6.0
56.0,3.0,"['HARD', 'MEDIUM', 'HARD']","[1.0, 19.0, 23.0]",Alpine,0,ALO,14,3,7.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 42.0]",Aston Martin,0,VET,10,2,8.0
56.0,2.0,"['HARD', 'MEDIUM']","[1.0, 19.0]",Haas F1 Team,0,MAG,13,2,9.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 34.0]",AlphaTauri,0,TSU,19,2,10.0
56.0,3.0,"['HARD', 'MEDIUM']","[1.0, 46.0]",Alpine,0,OCO,0,2,12.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Alfa Romeo,0,ZHO,18,2,14.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Williams,0,ALB,8,2,13.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 12.0]",AlphaTauri,0,GAS,11,2,11.0
56.0,3.0,"['HARD', 'MEDIUM', 'HARD']","[1.0, 19.0, 34.0]",Haas F1 Team,0,MSC,16,3,15.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",McLaren,0,RIC,15,2,16.0
56.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Williams,0,LAT,17,2,17.0
22.0,2.0,['MEDIUM'],[1.0],Aston Martin,0,STR,5,1,nan
17.0,2.0,"['MEDIUM', 'HARD']","[1.0, 11.0]",Alfa Romeo,0,BOT,7,2,nan
1.0,1.0,['MEDIUM'],[1.0],Ferrari,0,SAI,1,1,19.0
