lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos
52.0,2.0,"['HARD', 'MEDIUM']","[1.0, 29.0]",Alpine,0,OCO,11
52.0,2.0,"['HARD', 'MEDIUM']","[1.0, 29.0]",Alfa Romeo Racing,0,GIO,13
52.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 15.0, 39.0]",Ferrari,0,LEC,7
52.0,2.0,"['HARD', 'MEDIUM']","[1.0, 34.0]",Alfa Romeo Racing,0,RAI,17
52.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Williams,0,LAT,16
52.0,2.0,"['MEDIUM', 'HARD']","[1.0, 16.0]",Haas F1 Team,0,MSC,15
52.0,2.0,"['HARD', 'MEDIUM']","[1.0, 32.0]",Haas F1 Team,0,MAZ,18
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 30.0]",Red Bull Racing,0,VER,1
71.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 29.0, 70.0]",Mercedes,0,HAM,2
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 28.0]",Mercedes,0,BOT,5
71.0,3.0,"['SOFT', 'HARD', 'MEDIUM']","[1.0, 27.0, 55.0]",Red Bull Racing,0,PER,4
70.0,2.0,"['SOFT', 'HARD']","[1.0, 32.0]",McLaren,0,NOR,3
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 42.0]",Ferrari,0,SAI,12
70.0,3.0,"['SOFT', 'HARD', 'MEDIUM']","[1.0, 2.0, 38.0]",Ferrari,0,LEC,7
70.0,2.0,"['SOFT', 'HARD']","[1.0, 29.0]",Aston Martin,0,STR,9
70.0,2.0,"['SOFT', 'HARD']","[1.0, 28.0]",Alpine,0,ALO,8
70.0,2.0,"['SOFT', 'HARD']","[1.0, 27.0]",AlphaTauri,0,TSU,11
70.0,2.0,"['HARD', 'MEDIUM']","[1.0, 37.0]",Alfa Romeo Racing,0,RAI,18
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 28.0]",Aston Martin,0,VET,14
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 42.0]",McLaren,0,RIC,13
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 37.0]",Alpine,0,OCO,17
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Alfa Romeo Racing,0,GIO,15
69.0,2.0,"['MEDIUM', 'HARD']","[1.0, 34.0]",Haas F1 Team,0,MSC,19
68.0,3.0,"['MEDIUM', 'SOFT', 'HARD']","[1.0, 2.0, 26.0]",Williams,0,LAT,16
68.0,2.0,"['MEDIUM', 'HARD']","[1.0, 22.0]",Haas F1 Team,0,MAZ,20
36.0,3.0,"['MEDIUM', 'HARD']","[1.0, 26.0]",Williams,0,RUS,10
1.0,1.0,['SOFT'],[1.0],AlphaTauri,0,GAS,6
71.0,3.0,"['MEDIUM', 'HARD']","[1.0, 33.0]",Red Bull Racing,0,VER,1
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Mercedes,0,BOT,5
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",McLaren,0,NOR,2
71.0,3.0,"['MEDIUM', 'HARD']","[1.0, 32.0]",Mercedes,0,HAM,4
71.0,2.0,"['HARD', 'MEDIUM']","[1.0, 49.0]",Ferrari,0,SAI,10
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 33.0]",Red Bull Racing,0,PER,3
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 30.0]",McLaren,0,RIC,13
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 35.0]",Ferrari,0,LEC,12
71.0,3.0,"['SOFT', 'HARD']","[1.0, 14.0]",AlphaTauri,0,GAS,6
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 33.0]",Alpine,0,ALO,14
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Williams,0,RUS,8
70.0,3.0,"['SOFT', 'HARD']","[1.0, 13.0]",AlphaTauri,0,TSU,7
70.0,3.0,"['SOFT', 'HARD']","[1.0, 15.0]",Aston Martin,0,STR,9
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 2.0]",Alfa Romeo Racing,0,GIO,15
70.0,2.0,"['HARD', 'MEDIUM']","[1.0, 38.0]",Alfa Romeo Racing,0,RAI,16
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 34.0]",Williams,0,LAT,18
70.0,3.0,"['SOFT', 'HARD']","[1.0, 18.0]",Aston Martin,0,VET,11
69.0,2.0,"['MEDIUM', 'HARD']","[1.0, 35.0]",Haas F1 Team,0,MSC,19
69.0,3.0,"['MEDIUM', 'HARD']","[1.0, 28.0]",Haas F1 Team,0,MAZ,20
1.0,1.0,['MEDIUM'],[1.0],Alpine,0,OCO,17
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 28.0]",Mercedes,0,HAM,2
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 30.0]",Ferrari,0,LEC,4
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 23.0]",Mercedes,0,BOT,3
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 22.0]",McLaren,0,NOR,5
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 21.0]",McLaren,0,RIC,6
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 29.0]",Ferrari,0,SAI,10
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 25.0]",Alpine,0,ALO,7
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Aston Martin,0,STR,14
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",Alpine,0,OCO,9
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",AlphaTauri,0,TSU,16
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 29.0, 47.0]",AlphaTauri,0,GAS,11
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Williams,0,RUS,12
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Alfa Romeo Racing,0,GIO,15
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",Williams,0,LAT,17
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Alfa Romeo Racing,0,RAI,13
51.0,5.0,"['HARD', 'MEDIUM', 'SOFT']","[1.0, 19.0, 49.0]",Red Bull Racing,0,PER,0
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 26.0]",Haas F1 Team,0,MAZ,19
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 25.0]",Haas F1 Team,0,MSC,18
40.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Aston Martin,0,VET,8
1.0,1.0,['MEDIUM'],[1.0],Red Bull Racing,0,VER,1
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 38.0]",Alpine,0,OCO,8
70.0,5.0,"['INTERMEDIATE', 'MEDIUM', 'HARD', 'MEDIUM']","[1.0, 5.0, 20.0, 48.0]",Mercedes,0,HAM,1
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 33.0]",Ferrari,0,SAI,15
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 40.0]",Alpine,0,ALO,9
70.0,5.0,"['INTERMEDIATE', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 4.0, 31.0, 69.0]",AlphaTauri,0,GAS,5
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 23.0]",AlphaTauri,0,TSU,16
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 24.0]",Williams,0,LAT,18
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 22.0]",Williams,0,RUS,17
70.0,6.0,"['INTERMEDIATE', 'MEDIUM', 'HARD', 'MEDIUM']","[1.0, 4.0, 21.0, 41.0]",Red Bull Racing,0,VER,3
69.0,5.0,"['INTERMEDIATE', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 4.0, 16.0, 54.0]",Alfa Romeo Racing,0,RAI,13
69.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 21.0]",McLaren,0,RIC,11
69.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 35.0]",Haas F1 Team,0,MSC,20
69.0,6.0,"['MEDIUM', 'INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 2.0, 4.0, 34.0]",Alfa Romeo Racing,0,GIO,0
3.0,3.0,['INTERMEDIATE'],[1.0],Haas F1 Team,0,MAZ,19
2.0,2.0,['INTERMEDIATE'],[1.0],McLaren,0,NOR,6
1.0,1.0,['INTERMEDIATE'],[1.0],Mercedes,0,BOT,2
1.0,1.0,['INTERMEDIATE'],[1.0],Red Bull Racing,0,PER,4
1.0,1.0,['INTERMEDIATE'],[1.0],Ferrari,0,LEC,7
1.0,1.0,['INTERMEDIATE'],[1.0],Aston Martin,0,STR,12
