lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 34.0]",Red Bull Racing,0,VER,3
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 30.0]",Mercedes,0,HAM,2
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 41.0]",Red Bull Racing,0,PER,4
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 32.0]",AlphaTauri,0,GAS,5
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Ferrari,0,LEC,8
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 43.0]",Ferrari,0,SAI,6
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 34.0]",Aston Martin,0,VET,9
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 33.0]",Alfa Romeo Racing,0,RAI,10
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 40.0]",Alpine,0,ALO,12
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 45.0]",McLaren,0,NOR,18
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 17.0]",Alfa Romeo Racing,0,GIO,11
70.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 2.0, 39.0]",McLaren,0,RIC,7
70.0,2.0,"['SOFT', 'HARD']","[1.0, 15.0]",Alpine,0,OCO,19
69.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 13.0, 35.0]",Aston Martin,0,STR,20
69.0,5.0,"['MEDIUM', 'HARD', 'MEDIUM', 'SOFT']","[1.0, 2.0, 41.0, 64.0]",Mercedes,0,BOT,1
69.0,2.0,"['MEDIUM', 'HARD']","[1.0, 16.0]",Williams,0,RUS,16
69.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 12.0, 50.0]",Williams,0,LAT,13
68.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 14.0, 59.0]",Haas F1 Team,0,MAZ,15
1.0,1.0,['MEDIUM'],[1.0],Haas F1 Team,0,MSC,14
1.0,1.0,['SOFT'],[1.0],AlphaTauri,0,TSU,17
71.0,5.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Mercedes,0,HAM,10
71.0,5.0,"['MEDIUM', 'HARD']","[1.0, 28.0]",Red Bull Racing,0,VER,2
71.0,5.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Mercedes,0,BOT,1
71.0,6.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 29.0, 70.0]",Red Bull Racing,0,PER,4
71.0,5.0,"['MEDIUM', 'HARD']","[1.0, 53.0]",Ferrari,0,LEC,6
71.0,5.0,"['MEDIUM', 'HARD']","[1.0, 54.0]",Ferrari,0,SAI,3
70.0,5.0,"['MEDIUM', 'HARD']","[1.0, 26.0]",AlphaTauri,0,GAS,7
70.0,4.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",Alpine,0,OCO,8
70.0,4.0,"['MEDIUM', 'HARD']","[1.0, 35.0]",Alpine,0,ALO,12
70.0,6.0,"['MEDIUM', 'HARD']","[1.0, 2.0]",McLaren,0,NOR,5
70.0,5.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 29.0, 56.0]",Aston Martin,0,VET,9
70.0,5.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 29.0, 53.0]",Alfa Romeo Racing,0,RAI,0
70.0,5.0,"['MEDIUM', 'HARD']","[1.0, 7.0]",Williams,0,RUS,17
70.0,5.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 30.0, 43.0]",Alfa Romeo Racing,0,GIO,13
70.0,6.0,"['SOFT', 'HARD']","[1.0, 5.0]",AlphaTauri,0,TSU,15
70.0,5.0,"['MEDIUM', 'HARD']","[1.0, 14.0]",Williams,0,LAT,16
69.0,4.0,"['MEDIUM', 'HARD']","[1.0, 35.0]",Haas F1 Team,0,MAZ,19
69.0,6.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 12.0, 30.0]",Haas F1 Team,0,MSC,18
49.0,4.0,"['MEDIUM', 'HARD']","[1.0, 31.0]",McLaren,0,RIC,11
47.0,4.0,"['MEDIUM', 'HARD']","[1.0, 23.0]",Aston Martin,0,STR,14
