lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos,pit_count,final,location
58.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 24.0]",Mercedes,0,BOT,2,2,1.0,Melbourne
58.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 16.0]",Mercedes,0,HAM,1,2,2.0,Melbourne
58.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 26.0]",Red Bull Racing,0,VER,4,2,3.0,Melbourne
58.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 15.0]",Ferrari,0,VET,3,2,4.0,Melbourne
58.0,2.0,"['SOFT', 'HARD']","[1.0, 29.0]",Ferrari,0,LEC,5,2,5.0,Melbourne
58.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 15.0]",Haas F1 Team,0,MAG,7,2,6.0,Melbourne
57.0,2.0,"['SOFT', 'HARD']","[1.0, 14.0]",Renault,0,HUL,11,2,7.0,Melbourne
57.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 13.0]",Alfa Romeo Racing,0,RAI,9,2,8.0,Melbourne
57.0,2.0,"['MEDIUM', 'HARD']","[1.0, 28.0]",Racing Point,0,STR,16,2,9.0,Melbourne
57.0,2.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Toro Rosso,0,KVY,15,2,10.0,Melbourne
57.0,2.0,"['MEDIUM', 'SOFT']","[1.0, 38.0]",Red Bull Racing,0,GAS,17,2,11.0,Melbourne
57.0,2.0,"['SOFT', 'HARD']","[1.0, 16.0]",McLaren,0,NOR,8,2,12.0,Melbourne
57.0,2.0,"['SOFT', 'HARD']","[1.0, 14.0]",Racing Point,0,PER,10,2,13.0,Melbourne
57.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 15.0]",Toro Rosso,0,ALB,13,2,14.0,Melbourne
57.0,2.0,"['MEDIUM', 'SOFT']","[1.0, 28.0]",Alfa Romeo Racing,0,GIO,14,2,15.0,Melbourne
56.0,3.0,"['MEDIUM', 'SOFT', 'HARD']","[1.0, 27.0, 43.0]",Williams,0,RUS,19,3,16.0,Melbourne
55.0,4.0,"['HARD', 'MEDIUM', 'SOFT']","[1.0, 2.0, 29.0]",Williams,0,KUB,20,3,17.0,Melbourne
30.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 16.0]",Haas F1 Team,0,GRO,6,2,nan,Melbourne
29.0,2.0,"['SOFT', 'HARD']","[1.0, 2.0]",Renault,0,RIC,12,2,16.0,Melbourne
10.0,1.0,['SOFT'],[1.0],McLaren,0,SAI,18,1,nan,Melbourne
57.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 35.0]",Mercedes,0,HAM,3,2,1.0,Sakhir
57.0,3.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 13.0, 40.0]",Mercedes,0,BOT,4,3,2.0,Sakhir
